K,N,bound,failed,max_error,rounds,seed,trial
8,256,0.18265521779042768,False,0.05349170918367352,4096,5080055,55
8,256,0.18265521779042768,False,0.09263392857142855,4096,5080056,56
8,256,0.18265521779042768,False,0.0480594023323615,4096,5080057,57
8,256,0.18265521779042768,False,0.064037445335277,4096,5080058,58
8,256,0.18265521779042768,False,0.07490205903790087,4096,5080059,59
8,256,0.18265521779042768,False,0.05301339285714285,4096,5080060,60
8,256,0.18265521779042768,False,0.0630580357142857,4096,5080061,61
8,256,0.18265521779042768,False,0.0853794642857143,4096,5080062,62
8,256,0.18265521779042768,False,0.05588329081632648,4096,5080063,63
8,256,0.18265521779042768,False,0.0574093476676385,4096,5080064,64
8,256,0.18265521779042768,False,0.08203125,4096,5080065,65
8,256,0.18265521779042768,False,0.0591517857142857,4096,5080066,66
8,256,0.18265521779042768,False,0.06138392857142855,4096,5080067,67
8,256,0.18265521779042768,False,0.04738748177842568,4096,5080068,68
8,256,0.18265521779042768,False,0.04558810131195335,4096,5080069,69
8,256,0.18265521779042768,False,0.06656568877551017,4096,5080070,70
8,256,0.18265521779042768,False,0.05357142857142855,4096,5080071,71
8,256,0.18265521779042768,False,0.053013392857142905,4096,5080072,72
8,256,0.18265521779042768,False,0.04296875,4096,5080073,73
8,256,0.18265521779042768,False,0.0597098214285714,4096,5080074,74
8,256,0.18265521779042768,False,0.0641741071428571,4096,5080075,75
8,256,0.18265521779042768,False,0.0691964285714286,4096,5080076,76
8,256,0.18265521779042768,False,0.05299061588921284,4096,5080077,77
8,256,0.18265521779042768,False,0.09086871355685133,4096,5080078,78
8,256,0.18265521779042768,False,0.06640625,4096,5080079,79
8,256,0.18265521779042768,False,0.0502232142857143,4096,5080080,80
8,256,0.18265521779042768,False,0.05062181122448983,4096,5080081,81
8,256,0.18265521779042768,False,0.0417843476676385,4096,5080082,82
8,256,0.18265521779042768,False,0.05843431122448983,4096,5080083,83
8,256,0.18265521779042768,False,0.05202259475218657,4096,5080084,84
8,256,0.18265521779042768,False,0.0613839285714286,4096,5080085,85
8,256,0.18265521779042768,False,0.06329719387755103,4096,5080086,86
8,256,0.18265521779042768,False,0.0418526785714286,4096,5080087,87
8,256,0.18265521779042768,False,0.04305985787172015,4096,5080088,88
8,256,0.18265521779042768,False,0.04975628644314864,4096,5080089,89
8,256,0.18265521779042768,False,0.0825892857142857,4096,5080090,90
8,256,0.18265521779042768,False,0.04464285714285715,4096,5080091,91
8,256,0.18265521779042768,False,0.0552455357142857,4096,5080092,92
8,256,0.18265521779042768,False,0.05087235787172015,4096,5080093,93
8,256,0.18265521779042768,False,0.05094068877551017,4096,5080094,94
8,256,0.18265521779042768,False,0.045679209183673464,4096,5080095,95
8,256,0.18265521779042768,False,0.072681304664723,4096,5080096,96
8,256,0.18265521779042768,False,0.08035714285714285,4096,5080097,97
8,256,0.18265521779042768,False,0.05078125,4096,5080098,98
8,256,0.18265521779042768,False,0.055359420553935834,4096,5080099,99
8,256,0.18265521779042768,False,0.0920758928571429,4096,5080100,100
8,256,0.18265521779042768,False,0.06516490524781346,4096,5080101,101
8,256,0.18265521779042768,False,0.0691280976676385,4096,5080102,102
8,256,0.18265521779042768,False,0.08609693877551017,4096,5080103,103
8,256,0.18265521779042768,False,0.07310267857142855,4096,5080104,104
8,256,0.18265521779042768,False,0.07310267857142855,4096,5080105,105
8,256,0.18265521779042768,False,0.052455357142857095,4096,5080106,106
8,256,0.18265521779042768,False,0.05548469387755103,4096,5080107,107
8,256,0.18265521779042768,False,0.0786830357142857,4096,5080108,108
8,256,0.18265521779042768,False,0.0552455357142857,4096,5080109,109
8,256,0.18265521779042768,False,0.0658482142857143,4096,5080110,110
8,256,0.18265521779042768,False,0.0658482142857143,4096,5080111,111
8,256,0.18265521779042768,False,0.06631514212827985,4096,5080112,112
8,256,0.18265521779042768,False,0.046875,4096,5080113,113
8,256,0.18265521779042768,False,0.09255420918367352,4096,5080114,114
8,256,0.18265521779042768,False,0.0590492893586006,4096,5080115,115
8,256,0.18265521779042768,False,0.04312818877551017,4096,5080116,116
8,256,0.18265521779042768,False,0.0641741071428571,4096,5080117,117
8,256,0.18265521779042768,False,0.0463169642857143,4096,5080118,118
8,256,0.18265521779042768,False,0.0669642857142857,4096,5080119,119
8,256,0.18265521779042768,False,0.053150054664723,4096,5080120,120
8,256,0.18265521779042768,False,0.0703125,4096,5080121,121
8,256,0.18265521779042768,False,0.096118804664723,4096,5080122,122
8,256,0.18265521779042768,False,0.0686383928571429,4096,5080123,123
8,256,0.18265521779042768,False,0.04464285714285715,4096,5080124,124
8,256,0.18265521779042768,False,0.0697544642857143,4096,5080125,125
8,256,0.18265521779042768,False,0.05157844387755098,4096,5080126,126
8,256,0.18265521779042768,False,0.05094068877551017,4096,5080127,127
16,512,0.13924464250769783,False,0.052734375,16384,5160000,0
16,512,0.13924464250769783,False,0.053640625,16384,5160001,1
16,512,0.13924464250769783,False,0.053587962962962976,16384,5160002,2
